T, B, Ker
[ 2, 1 ], [ 4, 1 ], [  ]
[ 2, 1 ], [ 4, 2 ], [  ]
[ 2, 1 ], [ 4, 3 ], [  ]
[ 2, 1 ], [ 4, 4 ], [  ]
[ 2, 1 ], [ 4, 5 ], [  ]
[ 4, 1 ], [ 2, 1 ], [  ]
[ 4, 2 ], [ 2, 1 ], [  ]
[ 4, 3 ], [ 2, 1 ], [  ]
[ 4, 4 ], [ 2, 1 ], [  ]
[ 4, 5 ], [ 2, 1 ], [  ]
